RaceID,SeriesID,SeriesName,Season,Name,Day,DateTime,Track,IsInProgress,IsOver
1070,2,NASCAR O’Reilly Auto Parts,2025,Kansas Lottery 300,2025-09-27T00:00:00,2025-09-27 16:00:00,Kansas Speedway,False,True
1037,1,NASCAR Cup,2025,Hollywood Casino 400 Presented by ESPN BET,2025-09-28T00:00:00,2025-09-28 15:00:00,Kansas Speedway,False,True
1097,3,NASCAR Craftsman Truck,2025,Ecosave 250,2025-10-03T00:00:00,2025-10-03 15:30:00,Charlotte Motor Speedway Road Course,False,True
1071,2,NASCAR O’Reilly Auto Parts,2025,Blue Cross NC 250,2025-10-04T00:00:00,2025-10-04 17:00:00,Charlotte Motor Speedway Road Course,False,True
1038,1,NASCAR Cup,2025,Bank of America ROVAL 400,2025-10-05T00:00:00,2025-10-05 15:00:00,Charlotte Motor Speedway Road Course,False,True
1072,2,NASCAR O’Reilly Auto Parts,2025,Focused Health 302,2025-10-11T00:00:00,2025-10-11 19:30:00,Las Vegas Motor Speedway,False,True
1039,1,NASCAR Cup,2025,South Point 400,2025-10-12T00:00:00,2025-10-12 17:30:00,Las Vegas Motor Speedway,False,True
1098,3,NASCAR Craftsman Truck,2025,Love's RV Stop 225,2025-10-17T00:00:00,2025-10-17 16:00:00,Talladega Superspeedway,False,True
1073,2,NASCAR O’Reilly Auto Parts,2025,United Rentals 250,2025-10-18T00:00:00,2025-10-18 16:00:00,Talladega Superspeedway,False,True
1040,1,NASCAR Cup,2025,YellaWood 500,2025-10-19T00:00:00,2025-10-19 14:00:00,Talladega Superspeedway,False,True
1099,3,NASCAR Craftsman Truck,2025,Slim Jim 200,2025-10-24T00:00:00,2025-10-24 18:00:00,Martinsville Speedway,False,True
1074,2,NASCAR O’Reilly Auto Parts,2025,IAA & Ritchie Bros. 250,2025-10-25T00:00:00,2025-10-25 19:30:00,Martinsville Speedway,False,True
1041,1,NASCAR Cup,2025,Xfinity 500,2025-10-26T00:00:00,2025-10-26 14:00:00,Martinsville Speedway,False,True
1100,3,NASCAR Craftsman Truck,2025,NASCAR CRAFTSMAN Truck Series Championship,2025-10-31T00:00:00,2025-10-31 19:30:00,Phoenix Raceway,False,True
1075,2,NASCAR O’Reilly Auto Parts,2025,NASCAR Xfinity Series Championship,2025-11-01T00:00:00,2025-11-01 19:30:00,Phoenix Raceway,False,True
1042,1,NASCAR Cup,2025,NASCAR Cup Series Championship,2025-11-02T00:00:00,2025-11-02 15:00:00,Phoenix Raceway,False,True
